nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 6.041477203E+01, 3.652809143E+01, 1.987259102E+01
         2, 6.044472885E+01, 3.708062744E+01, 1.989500046E+01
         3, 5.995881271E+01, 3.712261963E+01, 1.997779465E+01
         4, 5.991514969E+01, 3.656637192E+01, 1.996232414E+01
         5, 6.091138840E+01, 3.648521423E+01, 1.979420853E+01
         6, 6.093564987E+01, 3.703738022E+01, 1.982325935E+01
         7, 3.480430222E+01, 6.494617462E+00, 1.246906567E+01
         8, 3.486988831E+01, 5.994986534E+00, 1.239515209E+01
         9, 3.535026169E+01, 5.987287998E+00, 1.240355110E+01
        10, 3.527708817E+01, 6.478658199E+00, 1.247382545E+01
        11, 3.438952637E+01, 6.001192093E+00, 1.238628292E+01
        12, 3.432766342E+01, 6.503868580E+00, 1.246254826E+01
        13, 5.686484528E+01, 8.892468262E+01, 2.680429459E+01
        14, 5.683213806E+01, 8.845362091E+01, 2.445759773E+01
        15, 5.736251068E+01, 8.842436218E+01, 2.285973740E+01
        16, 5.739729691E+01, 8.890249634E+01, 2.418470383E+01
        17, 5.632807922E+01, 8.895276642E+01, 3.304190063E+01
        18, 5.629978561E+01, 8.848324585E+01, 2.634638786E+01
        19, 9.001743317E+01, 8.854886627E+01, 4.646782398E+00
        20, 9.001424408E+01, 8.904143524E+01, 4.694284916E+00
        21, 8.952128601E+01, 8.903778076E+01, 4.809970379E+00
        22, 8.953466034E+01, 8.854746246E+01, 4.764025688E+00
        23, 9.050595093E+01, 8.855175781E+01, 4.532525539E+00
        24, 9.050473022E+01, 8.904676819E+01, 4.583707809E+00
        25, 5.820341492E+01, 3.344343567E+01, 1.990530777E+01
        26, 5.870492935E+01, 3.344845581E+01, 1.979271698E+01
        27, 5.871062088E+01, 3.395750046E+01, 1.989907837E+01
        28, 5.820502853E+01, 3.395086670E+01, 2.002077484E+01
        29, 5.820351791E+01, 3.294343185E+01, 1.977619934E+01
        30, 5.870353317E+01, 3.294343567E+01, 1.967354774E+01
        31, 8.954671478E+01, 8.805407715E+01, 4.717191696E+00
        32, 9.002597809E+01, 8.805449677E+01, 4.596478462E+00
        33, 9.051142120E+01, 8.805618286E+01, 4.478792191E+00
        34, 9.661209869E+01, 7.451872253E+01, 5.136548281E-01
        35, 9.662112427E+01, 7.401610565E+01, 4.491406977E-01
        36, 9.708895111E+01, 7.404424286E+01, 3.921578825E-01
        37, 9.708499908E+01, 7.454475403E+01, 4.610467255E-01
        38, 9.614051056E+01, 7.449616241E+01, 5.761994720E-01
        39, 9.615303040E+01, 7.399880981E+01, 5.242833495E-01
        40, 5.073199463E+01, 9.614804077E+01, 3.255023479E+00
        41, 5.126477814E+01, 9.609297943E+01, 3.816398859E+00
        42, 5.129616547E+01, 9.657476044E+01, 4.010644913E+00
