nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 9.899987030E+01, 7.749993896E+01, 8.197387695E+00
         2, 9.899987793E+01, 7.799993896E+01, 8.226421356E+00
         3, 9.849968719E+01, 7.799981689E+01, 8.253954887E+00
         4, 9.849967194E+01, 7.749980927E+01, 8.221220970E+00
         5, 9.949996948E+01, 7.749999237E+01, 8.181747437E+00
         6, 9.949996948E+01, 7.799999237E+01, 8.208854675E+00
         7, 2.288134384E+01, 2.703033829E+01, 5.942796230E+00
         8, 2.238138580E+01, 2.702389717E+01, 6.107224464E+00
         9, 2.237589645E+01, 2.653957176E+01, 6.107910633E+00
        10, 2.286744308E+01, 2.654954529E+01, 5.945218086E+00
        11, 2.288364220E+01, 2.750945091E+01, 5.956249237E+00
        12, 2.238450813E+01, 2.749875832E+01, 6.118260384E+00
        13, 5.019819260E+00, 6.538687897E+01, 2.129207420E+01
        14, 5.004289150E+00, 6.485858154E+01, 2.233354759E+01
        15, 5.511492252E+00, 6.481433105E+01, 2.262790489E+01
        16, 5.528108597E+00, 6.533774567E+01, 2.149883270E+01
        17, 4.505763531E+00, 6.490496826E+01, 2.201879883E+01
        18, 4.510281563E+00, 6.543188477E+01, 2.106659889E+01
        19, 8.158228302E+01, 2.091927719E+01, 8.247836113E+00
        20, 8.117218781E+01, 2.063463783E+01, 8.244504929E+00
        21, 8.145758820E+01, 2.022375870E+01, 8.410721779E+00
        22, 8.186767578E+01, 2.050838661E+01, 8.413757324E+00
        23, 8.088678741E+01, 2.104551506E+01, 8.080170631E+00
        24, 8.129689789E+01, 2.133017159E+01, 8.081580162E+00
        25, 8.450508118E+01, 9.048786163E+01, 1.065316582E+01
        26, 8.400547028E+01, 9.048687744E+01, 1.071941757E+01
        27, 8.400790405E+01, 8.998496246E+01, 1.060229492E+01
        28, 8.450736237E+01, 8.998608398E+01, 1.051386929E+01
        29, 8.450293732E+01, 9.098948669E+01, 1.079584694E+01
        30, 8.400319672E+01, 9.098863220E+01, 1.083157349E+01
        31, 8.174298859E+01, 1.981288147E+01, 8.579589844E+00
        32, 8.215307617E+01, 2.009750175E+01, 8.580787659E+00
        33, 4.426770401E+01, 8.678684998E+01, 4.300721169E+00
        34, 4.424837494E+01, 8.626427460E+01, 4.045460701E+00
        35, 4.476135635E+01, 8.620005798E+01, 4.013096333E+00
        36, 4.477877045E+01, 8.671942902E+01, 4.264477730E+00
        37, 4.373971176E+01, 8.633194733E+01, 4.057381630E+00
        38, 4.374124908E+01, 8.686304474E+01, 4.304107189E+00
        39, 9.899987030E+01, 7.699993896E+01, 8.174084663E+00
        40, 9.849966431E+01, 7.699980164E+01, 8.195933342E+00
        41, 9.949996948E+01, 7.699999237E+01, 8.159608841E+00
        42, 8.202839661E+01, 1.940200615E+01, 8.753631592E+00
        43, 8.243847656E+01, 1.968661880E+01, 8.751848221E+00
        44, 4.426492310E+01, 8.730305481E+01, 4.532988071E+00
        45, 4.374120331E+01, 8.738699341E+01, 4.533756733E+00
        46, 8.231381226E+01, 1.899113274E+01, 8.935924530E+00
        47, 8.272387695E+01, 1.927572823E+01, 8.932018280E+00
        48, 1.218548203E+01, 8.472508240E+01, 1.122806263E+01
        49, 1.175119781E+01, 8.442527008E+01, 1.106472969E+01
        50, 1.205529881E+01, 8.403511810E+01, 1.112499714E+01
        51, 1.248939514E+01, 8.433879852E+01, 1.128378296E+01
        52, 1.187878704E+01, 8.511638641E+01, 1.117506313E+01
        53, 1.145054436E+01, 8.482464600E+01, 1.100969601E+01
        54, 8.259922791E+01, 1.858025742E+01, 9.128066063E+00
        55, 8.300928497E+01, 1.886483383E+01, 9.124596596E+00
        56, 8.288464355E+01, 1.816938400E+01, 9.328833580E+00
        57, 8.329468536E+01, 1.845392609E+01, 9.326832771E+00
        58, 5.502079010E+00, 4.453548431E+01, 1.317356873E+01
        59, 5.001394272E+00, 4.453484344E+01, 1.322453022E+01
        60, 4.999654293E+00, 4.403300476E+01, 1.300613976E+01
        61, 5.499852180E+00, 4.403319550E+01, 1.295622158E+01
        62, 5.504161835E+00, 4.503771973E+01, 1.339921951E+01
        63, 5.003031254E+00, 4.503664780E+01, 1.345111370E+01
