nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 9.047867584E+01, 2.647898674E+01, 1.643460846E+01
         2, 9.047656250E+01, 2.697710419E+01, 1.638576508E+01
         3, 8.997348022E+01, 2.697390556E+01, 1.645488167E+01
         4, 8.997595215E+01, 2.647611809E+01, 1.650777435E+01
         5, 9.098123932E+01, 2.648165512E+01, 1.636535645E+01
         6, 9.097943878E+01, 2.698006439E+01, 1.632036972E+01
         7, 9.700185394E+01, 5.600130081E+01, 1.315259743E+01
         8, 9.700168610E+01, 5.650117493E+01, 1.311435699E+01
         9, 9.650255585E+01, 5.650185013E+01, 1.311116982E+01
        10, 9.650279236E+01, 5.600204086E+01, 1.314939690E+01
        11, 9.750115204E+01, 5.600076675E+01, 1.315533352E+01
        12, 9.750104523E+01, 5.650069046E+01, 1.311698723E+01
        13, 6.976158142E+01, 6.796714783E+01, 1.267581272E+01
        14, 6.997599030E+01, 6.751788330E+01, 1.268076992E+01
        15, 7.045947266E+01, 6.773975372E+01, 1.261153793E+01
        16, 7.023973846E+01, 6.818736267E+01, 1.260442066E+01
        17, 6.950000763E+01, 6.729200745E+01, 1.274936676E+01
        18, 6.928551483E+01, 6.774551392E+01, 1.274699593E+01
        19, 3.500326633E+00, 2.200007820E+01, 2.018463326E+01
        20, 3.000185013E+00, 2.200002289E+01, 2.022188377E+01
        21, 2.999989748E+00, 2.149988174E+01, 2.033286285E+01
        22, 3.500035286E+00, 2.149985886E+01, 2.031037521E+01
        23, 3.500615358E+00, 2.250030899E+01, 2.007264328E+01
        24, 3.000380754E+00, 2.250017357E+01, 2.012158012E+01
        25, 9.048083496E+01, 2.598092651E+01, 1.648014069E+01
        26, 8.997847748E+01, 2.597839737E+01, 1.655766487E+01
        27, 9.098307800E+01, 2.598329735E+01, 1.640700150E+01
        28, 7.223480225E+01, 5.141427612E+01, 1.280751514E+01
        29, 7.206234741E+01, 5.094690704E+01, 1.278570747E+01
        30, 7.255407715E+01, 5.077595901E+01, 1.280857086E+01
        31, 7.272843933E+01, 5.124723053E+01, 1.282767773E+01
        32, 7.173999786E+01, 5.159355927E+01, 1.279090500E+01
        33, 7.157704926E+01, 5.112761307E+01, 1.276670170E+01
        34, 7.253570557E+01, 4.401744843E+01, 1.278407288E+01
        35, 7.241513062E+01, 4.360497665E+01, 1.278009796E+01
        36, 7.287081146E+01, 4.360945892E+01, 1.286960888E+01
        37, 7.298873138E+01, 4.401709366E+01, 1.286913300E+01
        38, 7.195806885E+01, 4.361022949E+01, 1.268483067E+01
        39, 7.207976532E+01, 4.402825928E+01, 1.269353199E+01
        40, 6.657611847E+01, 7.150437164E+01, 1.292612743E+01
        41, 6.704441071E+01, 7.169786072E+01, 1.283537579E+01
        42, 6.686359406E+01, 7.216765594E+01, 1.284252167E+01
        43, 6.639441681E+01, 7.197588348E+01, 1.293577766E+01
        44, 6.722927094E+01, 7.123329163E+01, 1.282944012E+01
        45, 6.676104736E+01, 7.103306580E+01, 1.291797161E+01
        46, 9.700200653E+01, 5.550142288E+01, 1.319145775E+01
        47, 9.650301361E+01, 5.550222397E+01, 1.318841553E+01
        48, 9.750125122E+01, 5.550084305E+01, 1.319409561E+01
        49, 7.229951477E+01, 4.319395065E+01, 1.277966118E+01
        50, 7.275867462E+01, 4.320191956E+01, 1.287385464E+01
        51, 6.903101349E+01, 6.706034851E+01, 1.281735611E+01
        52, 6.881620026E+01, 6.751947784E+01, 1.281729889E+01
        53, 6.834982300E+01, 6.728822327E+01, 1.288721657E+01
        54, 6.856581116E+01, 6.682127380E+01, 1.288491440E+01
