nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 4.751762009E+01, 9.353118134E+01, 1.407976341E+01
         2, 4.696232224E+01, 9.351737213E+01, 1.386657333E+01
         3, 4.708779907E+01, 9.295034790E+01, 1.407738304E+01
         4, 4.759593201E+01, 9.297306824E+01, 1.423063850E+01
         5, 4.739907837E+01, 9.408358002E+01, 1.390851307E+01
         6, 4.680412674E+01, 9.408161163E+01, 1.363235092E+01
         7, 3.087027168E+01, 6.902081299E+01, 9.116867065E+00
         8, 3.100150681E+01, 6.853833771E+01, 9.197473526E+00
         9, 3.148287582E+01, 6.866925812E+01, 8.755532265E+00
        10, 3.135113907E+01, 6.915785980E+01, 8.624750137E+00
        11, 3.038899422E+01, 6.888898468E+01, 9.599118233E+00
        12, 3.052011299E+01, 6.840665436E+01, 9.637992859E+00
        13, 9.847600555E+01, 5.544847107E+01, 2.035005763E-02
        14, 9.846710205E+01, 5.595378876E+01, 1.457034983E-02
        15, 9.795236969E+01, 5.590846634E+01, 1.510163955E-02
        16, 9.796390533E+01, 5.539191818E+01, 2.142971940E-02
        17, 9.898775482E+01, 5.548386765E+01, 1.974338479E-02
        18, 9.898329163E+01, 5.598474121E+01, 1.424258389E-02
        19, 7.850077057E+01, 8.292684174E+01, 1.103345490E+01
        20, 7.873597717E+01, 8.250655365E+01, 1.072434330E+01
        21, 7.922630310E+01, 8.273051453E+01, 1.011981583E+01
        22, 7.899919891E+01, 8.313311768E+01, 1.033566570E+01
        23, 7.802976990E+01, 8.274428558E+01, 1.180242825E+01
        24, 7.826141357E+01, 8.230794525E+01, 1.137445068E+01
        25, 3.977367401E+01, 5.286207199E+01, 1.380516243E+01
        26, 3.960102081E+01, 5.332831955E+01, 1.362906742E+01
        27, 3.914011002E+01, 5.318100739E+01, 1.359865761E+01
        28, 3.931077957E+01, 5.271755981E+01, 1.373188114E+01
        29, 4.023185349E+01, 5.301712418E+01, 1.389254761E+01
        30, 4.006530762E+01, 5.347630310E+01, 1.367297268E+01
        31, 7.825395966E+01, 8.333052063E+01, 1.134921265E+01
        32, 7.872759247E+01, 8.350578308E+01, 1.059103298E+01
        33, 9.849391937E+01, 5.495626450E+01, 2.813744545E-02
        34, 9.798532867E+01, 5.488708115E+01, 3.045922518E-02
        35, 9.899815369E+01, 5.498512268E+01, 2.715328336E-02
        36, 4.743692780E+01, 7.853627777E+01, 9.076321602E+00
        37, 4.725676346E+01, 7.807138062E+01, 8.781332016E+00
        38, 4.774140167E+01, 7.790796661E+01, 8.797708511E+00
        39, 4.785844421E+01, 7.830648804E+01, 9.032631874E+00
        40, 4.694013977E+01, 7.866670990E+01, 9.026585579E+00
        41, 4.677483749E+01, 7.821273804E+01, 8.739269257E+00
        42, 9.852229309E+01, 5.446318817E+01, 3.903632239E-02
        43, 9.803208923E+01, 5.440217590E+01, 4.251790792E-02
        44, 9.901186371E+01, 5.448527527E+01, 3.741689771E-02
        45, 8.938311005E+01, 8.359886932E+01, 5.320067406E+00
        46, 8.942499542E+01, 8.409704590E+01, 5.424389839E+00
        47, 8.896494293E+01, 8.416828156E+01, 5.535531998E+00
        48, 8.893984985E+01, 8.367500305E+01, 5.434475899E+00
        49, 8.983911133E+01, 8.350614929E+01, 5.207301140E+00
        50, 8.984101105E+01, 8.400268555E+01, 5.327375889E+00
        51, 6.051107025E+01, 9.317887306E+00, 6.506545067E+00
        52, 6.089076614E+01, 9.579594612E+00, 6.419636726E+00
        53, 6.068909454E+01, 9.981569290E+00, 6.295230865E+00
        54, 6.029538727E+01, 9.713001251E+00, 6.380106926E+00
        55, 6.075182724E+01, 8.926398277E+00, 6.632664680E+00
        56, 6.114723587E+01, 9.216589928E+00, 6.530506611E+00
        57, 9.854338074E+01, 5.396556473E+01, 5.374887213E-02
        58, 9.808290100E+01, 5.393217468E+01, 5.796521157E-02
        59, 9.902136993E+01, 5.398289108E+01, 5.098182708E-02
        60, 3.901020813E+01, 5.211635590E+01, 1.375478077E+01
        61, 3.884523010E+01, 5.257608795E+01, 1.368053627E+01
        62, 3.837768936E+01, 5.243495941E+01, 1.365433884E+01
        63, 3.854039383E+01, 5.197485352E+01, 1.369490337E+01
        64, 3.947877121E+01, 5.225568008E+01, 1.384650803E+01
        65, 5.983919144E+01, 4.035571671E+01, 3.957804441E+00
        66, 5.995679855E+01, 3.978570938E+01, 3.963819504E+00
        67, 6.038503265E+01, 4.005402374E+01, 4.110541344E+00
        68, 6.026593781E+01, 4.063388824E+01, 4.119532108E+00
        69, 5.941136932E+01, 4.009692764E+01, 3.798198938E+00
        70, 5.952556992E+01, 3.951615906E+01, 3.819196463E+00
        71, 5.743692398E+01, 7.002654266E+01, 6.606932640E+00
        72, 5.769989014E+01, 6.961856079E+01, 6.525375843E+00
        73, 5.808578491E+01, 6.991263580E+01, 6.594053745E+00
        74, 5.781554794E+01, 7.028429413E+01, 6.657490730E+00
        75, 5.730902481E+01, 6.933123016E+01, 6.464034081E+00
        76, 5.704216385E+01, 6.974188995E+01, 6.556749344E+00
        77, 1.677633667E+01, 8.275050354E+01, 1.129848194E+01
        78, 1.717724037E+01, 8.283216858E+01, 1.144652081E+01
        79, 1.693642044E+01, 8.331243134E+01, 1.116222191E+01
        80, 1.650352859E+01, 8.316579437E+01, 1.103695107E+01
        81, 1.728056145E+01, 8.231537628E+01, 1.164784241E+01
        82, 1.684454346E+01, 8.225089264E+01, 1.147342110E+01
        83, 9.853833008E+01, 5.346665192E+01, 7.222233713E-02
        84, 9.807454681E+01, 5.343703461E+01, 7.866280526E-02
        85, 9.901945496E+01, 5.348096085E+01, 6.805597246E-02
        86, 2.104075050E+01, 1.096973228E+01, 9.244774818E+00
        87, 2.153747940E+01, 1.096458244E+01, 9.226264954E+00
        88, 2.153890038E+01, 1.144103050E+01, 9.135833740E+00
        89, 2.104105186E+01, 1.145375443E+01, 9.162513733E+00
        90, 2.154078293E+01, 1.047543335E+01, 9.316510201E+00
